'$Culture', '$Criticality', '$Criticality Modifier', '$Initial Known', '$Inter-Dependency', '$Dynamism', '$Size', '$Plan', '$Team Size', '<Cost', '?Score', '>Completion', '<Idle'
0.48375243826016134, 1.1709500303675011, 10, 0.5923060382467378, 92, 39, 2, 2, 10, 1897.5912883404483, 0.5860571573956018, 0.7790697674418605, 0.014705882352941124
0.8222563171352164, 0.9358246066222702, 7, 0.47506262856925796, 13, 15, 0, 0, 20, 371.51216708676867, 0.5099618548035892, 0.9230769230769231, 0.4782608695652174
0.10461367197956291, 1.0293981730376112, 6, 0.6610164761194526, 71, 7, 1, 1, 28, 688.9050500335479, 0.9480169715102753, 0.875, 0.4696969696969697
0.7916808857148335, 1.1982732136645633, 8, 0.517764605261867, 26, 22, 2, 5, 39, 1759.8379941374742, 0.587108545662177, 0.8880597014925373, 0.6033333333333333
0.15749681588057857, 1.1379681827531396, 5, 0.6440152675933339, 10, 36, 1, 3, 38, 788.1519222788239, 0.6294051978183447, 0.9565217391304348, 0.4054054054054054
0.12886644859061455, 0.9021171109892517, 6, 0.6504737860739507, 85, 15, 2, 4, 4, 546.7956859422044, 0.800729936359177, 0.9527027027027027, 0.44047619047619047
0.8089402107028117, 0.9157265158047689, 6, 0.6305690341364335, 98, 44, 2, 3, 28, 638.3944651491305, 0.40182803434469194, 0.5925925925925926, 0.0
0.5085041271117087, 1.1051361307496503, 8, 0.5483108146313744, 87, 50, 4, 1, 35, 2248.643211584273, 0.5472851737195104, 0.9069602272727273, 0.5463587921847246
0.49643237026923115, 0.8245391402977778, 5, 0.470713620880294, 18, 26, 0, 3, 26, 271.4644765623434, 0.7151591000003333, 0.8, 0.19999999999999996
0.608951065914077, 0.9110898549545576, 7, 0.6617286344512818, 18, 13, 0, 2, 16, 475.840103306718, 0.4743251035015485, 0.5, 0.0
0.5160238316024941, 1.143921942531391, 6, 0.5635026353484973, 9, 19, 4, 1, 8, 1302.1557459528724, 0.566642905719684, 0.9236588720770289, 0.49109511178476695
0.4483192705295781, 0.9560878217145133, 9, 0.4872872962950479, 87, 34, 0, 1, 13, 506.99532539625534, 0.3690446156390564, 0.6666666666666666, 0.0
0.7120602711072819, 0.9030206463049144, 7, 0.6609533468150279, 88, 48, 1, 3, 13, 489.60421623172584, 0.43104552199343144, 0.9833333333333333, 0.26249999999999996
0.3348708632126608, 1.010324030618485, 8, 0.6475556167417239, 89, 29, 1, 5, 42, 793.4784265462222, 0.5949824833810529, 0.9433962264150944, 0.3902439024390244
0.5087643405693928, 1.0642612802841298, 3, 0.5164168738204802, 71, 38, 1, 1, 8, 251.8648926465918, 0.4799222410699826, 0.9137931034482759, 0.3614457831325302
0.4309963220173052, 0.9798505112896614, 4, 0.4552555009739632, 19, 27, 1, 2, 2, 312.54222594855344, 0.5815984606564282, 0.6190476190476191, 0.04878048780487809
0.7973993578244537, 0.9852033852298991, 2, 0.5468547526687944, 78, 25, 3, 0, 39, 370.1862235463038, 0.428167884668993, 0.9766454352441614, 0.2532467532467533
0.6726025039805228, 1.0584621232816438, 4, 0.6369932277478566, 37, 30, 1, 0, 15, 406.55871374663445, 0.6451604344960662, 0.5384615384615384, 0.0
